text,sentiment,group
aparecer índice morte cidade tô assustado belempedepaz,0,train
rafael nascer escutar username anjo 40semanas edecasa,1,train
enfim excelente programa entrevista tv abrir,1,train
master chef fome madrugadato virar corujar sonambulo,1,train
ameir Nelson xavier tenda milagre ler livro Jorge amar videoshowaovivo,1,train
assistir agr yt gente mirian tar ridiculo parecer comida priminho td misturar dever sair,0,train
equipeazul torcida equipe azul ir arrebentar,1,train
amar sexo frágil risada irmã lázaro ramos   videoshowaovivo,1,train
felizmente deborah salvo,1,train
username username username pedir fôlego volta pra casa ninguém aguentar masterchefbr,0,train
sério nome série passar globo rush medicino vip     ,0,train
militante chegar     frango desconstruir,0,train
ah saudade hebe camargo televisão brasileiro rainha tv rainha Brasil  ,1,train
mãe serginho    ,1,train
preciso chegar século number pra negro desembargador,0,train
bom quadro mestre mandar,1,train
tchan religião,1,train
sofia lindar batom tá show Joaquim lir bjusss paraiba,1,train
vitor b bebezinho username,0,train
consigo olhar sandy username imaginar peidar,0,train
amanhã amado username username,1,train
pessoa q entender   significar sentir haver forma demonstrar abraço Encontro,1,train
bixinho username torcer   gato,1,train
sotaque lucero matar,0,train
lal Souza lindo,1,train
branco falar racismo preguiçar,0,train
username username tah pgm username   conversacombial,1,train
ana Maria Braga vester unicórnio inveja pijama,1,train
username tadinha entregar programa assunto encontro,1,train
bom programa começar éotchan amo   ,1,train
fofar maiara maraíso gente linr cantar eli reginar pai lindamente cantar,1,train
prato username tar legal masterchefbr,1,train
username coitado taís araújo        kkkk maisvocê,0,train
dêem parabéns username dia hoje dia zootecnista     edecasa,1,train
ahhh começar uhuuu                username maiaraemaraisanobial,1,train
mestre mandar bom quadro velho kkk,1,train
Fátima lindo     ,1,train
achar victor b rodar hoje masterchefbr,0,train
pensar pegadinhar,0,train
tô passado pra moça corromper machismo defender femilidade ser feministo,0,train
azaléia virar árvore edecasa,1,train
claro dani calabrês,1,train
vivian chamar próximo dia teste,1,train
fátimar bernarde    ,1,train
tô medo douglas saia,0,train
história bêbar username hj kkk,1,train
ai Caralho to mto nervoso,0,train
defender desarmamento nao entender assinto canalha,0,train
jocaota brilho graça amooo,1,train
mariah tá ridículo Short torto,0,train
username plenitude inteiro completo pra eu palavra definir Nelson xavier vídeoshowaovivo,1,train
amigo pra Tailândia fazer aula canal Username masterchefbr,1,train
patrícia merecer felicidade,1,train
fátima bernarde c    ,1,train
enter jurado username cobrar criatividade tds yoko xenofober,0,train
serieee,1,train
hoje username programa lindar,1,train
tar rolar boato ana luizar profissionalisto procede username vitor b volta pra masterchefbr,0,train
goiás galinhar pedir milho verde ter pequi ficar bom amo masterchefbr,1,train
confessar q nao qm qro q saia hj vcs despedaçar coração masterchefbr,0,train
carar saudade hebe Pqp Maisvoce,1,train
username   ô homem maravilhoso,1,train
amar programa gostosoo,1,train
tá explicar olhar mãe,0,train
querer experimentar sardinhar rs,1,train
guardar mágoa tomar veneno esperar pessoa morro prazeroso gostar tomar veneno,1,train
username amo presença programa linda masterchefbr,1,train
Brasil Hashtags lulaeuconfio moro orgulho brasileiro   versátel rs,1,train
poxa vitor,0,train
tentar responder atividade último hora sentir,1,train
muito vontade trocar ideia username algum vida conversacombial,1,train
ser apresentador achar adorar trabalhar cenário igual   super agradável integrar área externo,1,train
pra ganhar viaviane planilha Nerd estudaaar atriz verdade organizar pasmanterepivanomaisvoce,1,train
morry   hj maiara   maraiso programa queridinho username    ,1,train
prato hoje vomito selar gorfo verde etc,0,train
username username massar ciúme mr catra username,1,train
olá username fã muito saudade sar alve username Username  ,1,train
number 2h sede masterchef,1,train
pele madura filha falar certo edecasa,1,train
bom programa tv brasileiro hahahaha mr catra música pepeka Chora hahaha sucesso nacional,1,train
dougla bom pessoa dps yukonão sair   ,0,train
tar lir molho desinfetante hein,0,train
gente q histór eh q ano luíza desclassificar pq trabalho profissional    tar lavar cabelo,0,train
tchan,1,train
criança adulto mtor chata aff,0,train
ahhh semana pra,0,train
lir parto humanizado,1,train
prato hoje fritar sardinha cortar limão p colocar prato sardinha fritar maravilha rs,1,train
n deixar programa morrer td dia perola maisvoce,1,train
ameir sinceridade vanessa mata parto mãe,1,train
deu falto morrer cuspir comida  ,0,train
intervalo sandy cantar chitãozinho xororó karaokê virtual     Sandynoencontro,1,train
preferido username,1,train
paola kkk,0,train
tá dar pra assistir masterchef horário sério masterchefbr,0,train
torcer pro time azul simples motivo miriam em ele rs,1,train
fazer comida cachaça pra deixar jurado bêbar gostar prato masterchefbr,1,train
Dan homão lir porra,1,train
mano tô quase sentir cheiro castanhar   par peixe cupuaçu tucupi pisa,1,train
vitor b unico crush asiático Vote username The Btsbbmas top social artist award,1,train
crush vida sair triste,0,train
Cupcake,1,train
arroz pra atleta eh pra morrer Neh ajuda masterchefbr,1,train
casa amigo tocar música peguei uber rádio tocar música chegar casa padre tá cantar,1,train
lindo edição mãe username          ,1,train
João vicente cara gostar amor,1,train
começar  ,1,train
Nelson xavier fazer chorar,1,train
maiara maritaca maraisa Caladinha Kakakkaka,0,train
apaixonado      maluma,1,train
mano fátima tá gata pcrlh,1,train
porrar música,0,train
pensar serginho ir perguntar Bella Gil comer placenta bebê de ela,0,train
maisvocê brocar username cabeleireiro,0,train
video show nao cansar mesmo matéria vestir noiva diferentes videoshowaovivo,0,train
ficar equipe eliminem leonardo,0,train
dindin outro pq par chopp vcs passar novela interior manaus em isso,0,train
manau ver quicao tá errar certo kikao,0,train
tá tts,1,train
tubschak canudinho comestível Barion fazer tubete gigante delícia,1,train
hoje tô torcer forte pra azul,1,train
Sophia lindo ser diretor video show tirar joca permanecer vc dia bjs   kkkr,1,train
hoje username,1,train
volta   maiaraemaraisanobial,1,train
ninguém xibé masterchefbr,0,train
orgulho pequeno       username username maiaraemaraisanobial,1,train
par chop nao dindin fazer novela manau nao par videoshowaovivo,0,train
começar,1,train
consigo minuto cola chato super graça enter sucesso sério thenoiter,0,train
hoje amado padre q genteolha hora programa,0,train
tô ver moda unicórnio pegar kkk,1,train
q car grosso cilar mana tratar mau   mãe confirmar má educação q dar p   obra primo de ela,0,train
vitor b voltar cozinhar    ,1,train
ta ai tata cara programa sophia q va novela,0,train
kung fu socorro,1,train
username saudade sapato Amoreee chocobjs morango username,1,train
douglas eliminar tô implorandooo,0,train
ai assunto chato serio pleno poder inventar encontro teen pra falar diva show crush,0,train
assistir,1,train
edição master chef tar maravilhoso tô saber lidar gente bacano,1,train
admiração comum irmã Galvão maravilhoso,1,train
mano tô passar Jaaa domingolegal,1,train
vitor b Yuko piores   nãaaao,0,train
cara estar perdido prato bonito teamazul,1,train
ler hoje possibilidade ex Bbb mayar motti programa favorito fazer   implorar,0,train
olhar nobby clifford,1,train
provar risoto yuko,1,train
entrar so pra abraçar username username,1,train
vitor sair assistar masterchef oficial,0,train
ai mirian dexadeserfalso,0,train
tiago liefert avisar migooo,1,train
feliz dia mães,1,train
jairzinho username   adorar pai jair Rodrigues q cara maravilhoso pena q alegria ímpar,1,train
sardinha araújo abóbora kkk,0,train
bebê acordar pra assistir episódio,1,train
fogaça venero,1,train
torcer equipe azul conta chinesinha  ,1,train
faltar maisvocê hoje username comunicação coerente qualidade,0,train
favs sair cobrança edição vulgo mirian continuar firme forte aceitar,0,train
mozão   tum de um de um   mozão   tum de um de um   username 3,1,train
homem viadaço kkk,0,train
Carol duartar arrasandoo ivano cena perceber sofrimento personagem 3,1,train
master chef nacional internacional,0,train
deixar terminar,1,train
sair nao vitor b masterchefbr,0,train
loucosporvideoshow ot magérrimo parabéns adorar   vídeo show mandar abraço pra recife,1,train
favorita username torço username username username   gogirlsr,1,train
pessoa orgulho falar casa pqr filho machista escroto aceitar ahhh pa porra encontro,0,train
tô ver atrasar amar participante torcer nariz pra ingrediente amo sardinha,1,train
fav username yuko naluizar fernando ir,1,train
oloco drunk historyr em é thenoite,0,train
namario bom pessoa lkkk,1,train
ver hoje ep username maravilhoso pleno escolher ingrediente mercado resto piro,1,train
lembro Atriz Isabel Ribeiro taí motivo p   prestigiar memórianacional p   conhecerr estrela vídeoshowaovivo,1,train
gente histório motivadora menina encontro,1,train
misericórdiar prato cara horrível masterchefbr,0,train
amor deu gente,0,train
amor mãe discutir altashora,1,train
namariaaa kkk,1,train
odinhonomasterchefr,1,train
nicola pratte ator mirim terra nostro   videoshowaovivo,1,train
war homão porra gente respeitar,1,train
olá username username gostar participação fiuk  ,1,train
username falar hj mestre mandar username tô,1,train
maisvocê despacito vc   ,1,train
abraço adorar abraçar encontro,1,train
gordinha linda Marilia mendonça,1,train
programa doido q colocar andre Marques pauta beleza mulher edecasa,0,train
gostar Deborah,1,train
ir fátima bernarde,1,train
username dar bom dica comportamentoparabens,1,train
vídeo show ficar bom vcs number apresentar username username,1,train
celso mostrar pedaço clipe aquarelo username mdsss ir morrer,1,train
ahhh   sair doug,0,train
camisar liiinda username   arrasar  ,1,train
leonardo invejoso porra,0,train
carar n velhinha number ano nuncaaa gracer,1,train
naiane representar ser q chor hahahahaha,1,train
hoje nois tá querer sambada username cara inimiga prato lacrador      ,1,train
gente olhar menino ano falar flor claramente filho,1,train
vitors hoje matar masterchefbr,0,train
vacacórnio kkk,0,train
Joca rever   vc cozinha superchef,1,train
certidão velho Miguel excelente pensamento username,1,train
vc tar assistir sandy quartadetremurasdv,1,train
putar parir menina chato pra caralho filha carolina Kasting,0,train
aaa aparecer monico rafa cortez  ,1,train
maisvocê seguro namariatenho quase q matar andar Bike,0,train
mestre mar bom quadro kk,1,train
bad perder carol semana passado username hj   ,0,train
username escolher amar conversacombial,1,train
lir filho username dançar    ,1,train
falar problema homem tarado controle ivadir espasso liberdade mulher,0,train
mr catra mestre mandar hoje haver zoer   username,1,train
   gestor próprio mente sociedade matar indivíduo dia colocar coletivista conversacombial,0,train
acordar ligueir tv unicórnio   tv namario maisvocê,1,train
dar crédito pra programa,0,train
ei username dirigi peça basear filme Maria bonito lampiãocom Nelson xaviercoisa number   série   lir,1,train
è competição culinário bigbrother Brasil ai cara falar pessoa dever sair pq è chata  ,0,train
amor username cozinhar casa masterchefbr,1,train
q homem gnt,1,train
tô ver programa tema ansiedade claramente tá abordar vida   conversacombial,1,train
insuportável capitão time azul masterchefbr,0,train
amo música tiê 3,1,train
username username prefiro assistir,1,train
sandy afinadíssim cd rodar,1,train
vitor b nhonho  ,1,train
Cantorpablo música homem chorar mentira piis chorar username,1,train
parabéns mamães olhar la olhar,1,train
q lir batom fatinha alio ta bonito neh,1,train
eitar ja ja,1,train
heroína dúvida mãepassar separação number câncer falecimento pai,1,train
detalhe prova durar 3h episódio hoje,0,train
fogaça aconselhar mirian nhoim,1,train
vídeo show number    username username,1,train
mãe q irmão á ajudar tarefa fico put4 dizer fazer qele ñ elñ,0,train
username maravilhoso renovação voto soniel aliás casamento vitor alice  ,1,train
hj tchan username altashora,1,train
leonardo queimar língua continuar falar merdo carar chato,0,train
lembrar Antônia moral pequeninir anjomau fofa videoshowaovivo,1,train
edecasa filme plastico levar forno dano saúde plástico temperatura elevar soltar substancia toxico,0,train
fiquei curioso pra bebezinho crescer,1,train
beijar boca lembrar boca certo   corno,0,train
filme terror legal    bjinho manasnomtvhits mafiasdvsertrouxae unicórniar,1,train
username username jogo amizade username username vídeoshowcomsophiaabrahão,1,train
dekasegui Brasileiropizzamc Donald churrascar Japão,0,train
pessoa arrancar dedo passar nhoque ticupi sair causa sardinha,0,train
acreditar perdir,0,train
maravilhoso programa fátima bernardes mostrar comido típica cidade itabirito,1,train
sairrr,0,train
admirar perna Fatima   euuu videoshowaovivo,1,train
grito araujo mar brigadeiro pra ana Maria dizer comi bom kkk,1,train
mulher falar trabalhar importar insignificante elf   dar trabalho digno   encontro fátimo,0,train
expulse diabo criar pde fabio Melo refletir frase,1,train
taís araújo mandar pensamento obscuro pra errar abóbora,0,train
consigo assistir kskdkd,1,train
lembrar hoje username,1,train
hj q miriam sair,1,train
taís araújo linda belo entrevistar incrível gente fofa demaaal username username    taisaraujo,1,train
seguro mao deu dougla ai pai oraçao ai pai username,1,train
lindo criança     altashora,1,train
olá mandem abraço pra mãe marino assistir dia fã apelido pai tmb joco,1,train
ei bial tomar cu florzinha baba ovo framenfraude ko     rede globo parcial,0,train
torcer pro time vermelho Block,0,train
unico mulher liberdade sexual cadeia Foda conversacombial,1,train
adorei programa hoje apesar ouvir adoro personagem nino praça,1,train
acabar ver username,1,train
falha produção acaba expor username ser educar gente taís honesto sincerar,0,train
alguém tirar mirer programa,0,train
covarde passar bola pro sobrecarregar mulher mulher nascer saber,0,train
sardinha dente mini infartocenourar    username brinquinhojacquin quase chorar rapazinho eliminar,0,train
edecasa cachorro Andrè Marques lavar mão pia cozinha caraco porquinho   ,0,train
acordar number manhã acordar chorar,0,train
tentativa programa copiar estética Internet youtube chegar ridículo,0,train
apaixonar guri entender orquídea,1,train
  quanto clipe   monte   quanto   number number  ,0,train
