id,hashtag,votes,hard,sentiment,group,text,repeat
863044774588272640,#encontro,"[1, 1, 1, 1, 1, 1, 1]",0,1,test,que coisa linda O programa estava mostrando uma familia que adotou um adolescente de NUMBER anos que amor !,False
865583716088766464,#encontro,"[1, 1, 1, 1, 1, 1, 1]",0,1,test,por mais com as irmãs galvão adorei elas,False
865063232201011200,#TheNoite,"[1, 0, 1, 1, 1, 0, 0]",2,1,test,mr CATRA USERNAME lançando sua nova música PPK CHORA no USERNAME k k k 👅 😉 #MrCatra #PpkChora,False
864668391008763904,#masterchefbr,"[0, 0, 0, 0, 0, 0, 0]",0,0,test,quem viu aquela lutadora modela barbuda tatuada #MasterChefBR,False
865572794016378880,#encontro,"[-1, -1, -1, -1, -1, -1, -1]",0,-1,test,tô passada com esse cara quanta merda pode sair da boca de alguém em alguns minutos 😠,False
864531723215925248,#videoShowAoVivo,"[1, 1, 1, 1, 1, 1, 1]",0,1,test,cibele arrasou humilhou !,False
864176639143555072,#videoShowAoVivo,"[0, 0, 1, 0, 0, 0, 0]",0,0,test,em minas sacolé é chup chup #videoshowaovivo,False
864674916532146176,#masterchefbr,"[0, 0, 1, 0, 0, 0, 0]",0,0,test,meu prato masterchef de sardinha enlatada seria jogar ela no prato cozinhar arroz e ainda colocar batata palha junto,False
865566046320832512,#encontro,"[-1, -1, -1, -1, -1, -1, -1]",2,-1,test,coitada da namorada,False
862307799258329088,#encontro,"[-1, -1, -1, -1, -1, -1, -1]",0,-1,test,esse japa não entendi porra nenhuma de orquídeas essa não é catleya walkiriana é uma nobilior,False
865901040855650304,#édecasa,"[1, 1, 1, 1, 1, 1, 1]",0,1,test,A cearamirinense mais famosa do brasil no #Edecasa USERNAME ♥ linda,False
864877489801310208,#masterchefbr,"[0, 0, 1, 0, 1, 1, 1]",1,1,test,nào sei vocês mas quero USERNAME no #powercoupleBrasil com a USERNAME e num reality tipo dr rey até no tá bom,False
864702921698664448,#TheNoite,"[0, 1, 1, 0, 1, 1, 1]",1,1,test,tem q passar essa entrevista em telões nas praças,False
863575527315181568,#altasHoras,"[1, 1, 1, 1, 0, 1, 1]",0,1,test,estou todo derretido com o amor do serginho e thomas no,False
864901773076701184,#videoShowAoVivo,"[0, 0, 1, -1, -1, 0, 0]",4,0,test,fatima bernardes sobre o sotaque hahaha coerência profissional,False
865071562449448960,#ConversaComBial,"[1, 1, 1, 1, 1, 1, 1]",0,1,test,augusto cury no IMPERDÍVEL !,False
864534043643322368,#videoShowAoVivo,"[1, 1, 1, 1, 1, 1, 1]",0,1,test,sophia super sensual com essa roupa ! ! ! !,False
864684453909671936,#ConversaComBial,"[1, 1, 1, 1, 1, 1, 1]",0,1,test,caraaa não dormi ainda por causa desse cara padre fábio de melo ❤ ️ quanta sabedoria ! #conversacombial,False
864653900405772288,#masterchefbr,"[1, 0, 1, 1, 1, 1, 1]",2,1,test,A MIRIAM E O FOGO DO PROGRAMA ELA E PROTAGONISTA,False
862319879470407680,#encontro,"[0, 0, 1, 0, 1, 1, 1]",1,1,test,depois eu vou assistir espero que ela cante a nova música #Encontro #SandyNoEncontro,False
864666008333807616,#masterchefbr,"[0, 0, 1, 1, -1, 0, 0]",0,0,test,eu aqui queimando o arroz e o pessoal do colocando NUMBER temperos kkk,False
862154585120681984,#masterchefbr,"[0, 0, 1, 1, 1, 1, 0]",2,1,test,ai mds é agora,False
864814104745320448,#masterchefbr,"[-1, 0, 0, -1, 1, -1, -1]",1,-1,test,aí vc fica até NUMBER assistindo e acorda cedo pra ir trabalhar parecendo um zumbi,False
864700805017993216,#masterchefbr,"[1, 1, 1, 1, 1, 0, 0]",0,1,test,fico assistindo dá muuuita vontade de comer rs,False
